Time;Deep_0_0;Input_0;Output_0;Load;Oil.ElectricityPrice;Gas.ElectricityPrice;Reseau.ElectricityPrice;Poubelle.ElectricityPrice;zero
0.0;1.5881205797195435;0.4;1.5881205797195435;0.4;1.0;0.5;1000.0;-1000.0;0.0
3600.0;1.5881205797195435;0.4;1.5881205797195435;0.4;1.0;0.5;1000.0;-1000.0;0.0
7200.0;1.5881205797195435;0.4;1.5881205797195435;0.4;1.0;0.5;1000.0;-1000.0;0.0
10800.0;1.5881205797195435;0.4;1.5881205797195435;0.4;1.0;0.5;1000.0;-1000.0;0.0
14400.0;1.5881205797195435;0.4;1.5881205797195435;0.4;1.0;0.5;1000.0;-1000.0;0.0
18000.0;1.5881205797195435;0.4;1.5881205797195435;0.4;1.0;0.5;1000.0;-1000.0;0.0
21600.0;1.6765843629837036;0.523529411764705;1.6765843629837036;0.523529411764705;1.0;0.5;1000.0;-1000.0;0.0
25200.0;2.0178017616271973;1.0;2.0178017616271973;1.0;1.0;0.5;1000.0;-1000.0;0.0
28800.0;2.0178017616271973;1.0;2.0178017616271973;1.0;1.0;0.5;1000.0;-1000.0;0.0
32400.0;1.6955409049987793;0.55;1.6955409049987793;0.55;1.0;0.5;1000.0;-1000.0;0.0
36000.0;1.5881205797195435;0.4;1.5881205797195435;0.4;1.0;0.5;1000.0;-1000.0;0.0
39600.0;1.5881205797195435;0.4;1.5881205797195435;0.4;1.0;0.5;1000.0;-1000.0;0.0
43200.0;1.5881205797195435;0.4;1.5881205797195435;0.4;1.0;0.5;1000.0;-1000.0;0.0
46800.0;1.5881205797195435;0.4;1.5881205797195435;0.4;1.0;0.5;1000.0;-1000.0;0.0
50400.0;1.5881205797195435;0.4;1.5881205797195435;0.4;1.0;0.5;1000.0;-1000.0;0.0
54000.0;1.5881205797195435;0.4;1.5881205797195435;0.4;1.0;0.5;1000.0;-1000.0;0.0
57600.0;1.5881205797195435;0.4;1.5881205797195435;0.4;1.0;0.5;1000.0;-1000.0;0.0
61200.0;1.8626391887664795;0.783333333333333;1.8626391887664795;0.783333333333333;1.0;0.5;1000.0;-1000.0;0.0
64800.0;2.0178017616271973;1.0;2.0178017616271973;1.0;1.0;0.5;1000.0;-1000.0;0.0
68400.0;2.0178017616271973;1.0;2.0178017616271973;1.0;1.0;0.5;1000.0;-1000.0;0.0
72000.0;2.0178017616271973;1.0;2.0178017616271973;1.0;1.0;0.5;1000.0;-1000.0;0.0
75600.0;2.0178017616271973;1.0;2.0178017616271973;1.0;1.0;0.5;1000.0;-1000.0;0.0
79200.0;2.0178017616271973;1.0;2.0178017616271973;1.0;1.0;0.5;1000.0;-1000.0;0.0
82800.0;1.9942716360092163;0.967142857142857;1.9942716360092163;0.967142857142857;1.0;0.5;1000.0;-1000.0;0.0
86400.0;1.9139621257781982;0.855;1.9139621257781982;0.855;1.0;0.5;1000.0;-1000.0;0.0
90000.0;1.8184773921966553;0.721666666666666;1.8184773921966553;0.721666666666666;1.0;0.5;1000.0;-1000.0;0.0
93600.0;1.7448747158050537;0.618888888888888;1.7448747158050537;0.618888888888888;1.0;0.5;1000.0;-1000.0;0.0
97200.0;1.731347680091858;0.6;1.731347680091858;0.6;1.0;0.5;1000.0;-1000.0;0.0
100800.0;1.731347680091858;0.6;1.731347680091858;0.6;1.0;0.5;1000.0;-1000.0;0.0
104400.0;1.731347680091858;0.6;1.731347680091858;0.6;1.0;0.5;1000.0;-1000.0;0.0
108000.0;1.731347680091858;0.6;1.731347680091858;0.6;1.0;0.5;1000.0;-1000.0;0.0
111600.0;1.731347680091858;0.6;1.731347680091858;0.6;1.0;0.5;1000.0;-1000.0;0.0
115200.0;1.7548778057098389;0.632857142857142;1.7548778057098389;0.632857142857142;1.0;0.5;1000.0;-1000.0;0.0
118800.0;1.8351871967315674;0.745;1.8351871967315674;0.745;1.0;0.5;1000.0;-1000.0;0.0
122400.0;1.9306719303131104;0.878333333333333;1.9306719303131104;0.878333333333333;1.0;0.5;1000.0;-1000.0;0.0
126000.0;2.004274845123291;0.981111111111111;2.004274845123291;0.981111111111111;1.0;0.5;1000.0;-1000.0;0.0
129600.0;2.0178017616271973;1.0;2.0178017616271973;1.0;1.0;0.5;1000.0;-1000.0;0.0
133200.0;2.0178017616271973;1.0;2.0178017616271973;1.0;1.0;0.5;1000.0;-1000.0;0.0
136800.0;2.0178017616271973;1.0;2.0178017616271973;1.0;1.0;0.5;1000.0;-1000.0;0.0
140400.0;2.0178017616271973;1.0;2.0178017616271973;1.0;1.0;0.5;1000.0;-1000.0;0.0
144000.0;2.0178017616271973;1.0;2.0178017616271973;1.0;1.0;0.5;1000.0;-1000.0;0.0
147600.0;2.0178017616271973;1.0;2.0178017616271973;1.0;1.0;0.5;1000.0;-1000.0;0.0
151200.0;2.0178017616271973;1.0;2.0178017616271973;1.0;1.0;0.5;1000.0;-1000.0;0.0
154800.0;2.0178017616271973;1.0;2.0178017616271973;1.0;1.0;0.5;1000.0;-1000.0;0.0
158400.0;2.0178017616271973;1.0;2.0178017616271973;1.0;1.0;0.5;1000.0;-1000.0;0.0
162000.0;2.0178017616271973;1.0;2.0178017616271973;1.0;1.0;0.5;1000.0;-1000.0;0.0
