Time;Deep_0_0;Deep_0_1;Input_0;Output_0;Output_1;Load;Oil.ElectricityPrice;Gas.ElectricityPrice;Reseau.ElectricityPrice;Poubelle.ElectricityPrice;zero
0.0;1.5368382930755615;1.3656525611877441;0.4;1.5368382930755615;1.3656525611877441;0.4;1.0;0.5;1000.0;-1000.0;0.0
3600.0;1.5368382930755615;1.3656525611877441;0.4;1.5368382930755615;1.3656525611877441;0.4;1.0;0.5;1000.0;-1000.0;0.0
7200.0;1.5368382930755615;1.3656525611877441;0.4;1.5368382930755615;1.3656525611877441;0.4;1.0;0.5;1000.0;-1000.0;0.0
10800.0;1.5368382930755615;1.3656525611877441;0.4;1.5368382930755615;1.3656525611877441;0.4;1.0;0.5;1000.0;-1000.0;0.0
14400.0;1.5368382930755615;1.3656525611877441;0.4;1.5368382930755615;1.3656525611877441;0.4;1.0;0.5;1000.0;-1000.0;0.0
18000.0;1.5368382930755615;1.3656525611877441;0.4;1.5368382930755615;1.3656525611877441;0.4;1.0;0.5;1000.0;-1000.0;0.0
21600.0;1.6392139196395874;1.4153562784194946;0.523529411764705;1.6392139196395874;1.4153562784194946;0.523529411764705;1.0;0.5;1000.0;-1000.0;0.0
25200.0;2.0340914726257324;1.6070705652236938;1.0;2.0340914726257324;1.6070705652236938;1.0;1.0;0.5;1000.0;-1000.0;0.0
28800.0;2.0340914726257324;1.6070705652236938;1.0;2.0340914726257324;1.6070705652236938;1.0;1.0;0.5;1000.0;-1000.0;0.0
32400.0;1.661151647567749;1.4260071516036987;0.55;1.661151647567749;1.4260071516036987;0.55;1.0;0.5;1000.0;-1000.0;0.0
36000.0;1.5368382930755615;1.3656525611877441;0.4;1.5368382930755615;1.3656525611877441;0.4;1.0;0.5;1000.0;-1000.0;0.0
39600.0;1.5368382930755615;1.3656525611877441;0.4;1.5368382930755615;1.3656525611877441;0.4;1.0;0.5;1000.0;-1000.0;0.0
43200.0;1.5368382930755615;1.3656525611877441;0.4;1.5368382930755615;1.3656525611877441;0.4;1.0;0.5;1000.0;-1000.0;0.0
46800.0;1.5368382930755615;1.3656525611877441;0.4;1.5368382930755615;1.3656525611877441;0.4;1.0;0.5;1000.0;-1000.0;0.0
50400.0;1.5368382930755615;1.3656525611877441;0.4;1.5368382930755615;1.3656525611877441;0.4;1.0;0.5;1000.0;-1000.0;0.0
54000.0;1.5368382930755615;1.3656525611877441;0.4;1.5368382930755615;1.3656525611877441;0.4;1.0;0.5;1000.0;-1000.0;0.0
57600.0;1.5368382930755615;1.3656525611877441;0.4;1.5368382930755615;1.3656525611877441;0.4;1.0;0.5;1000.0;-1000.0;0.0
61200.0;1.8545279502868652;1.5198918581008911;0.783333333333333;1.8545279502868652;1.5198918581008911;0.783333333333333;1.0;0.5;1000.0;-1000.0;0.0
64800.0;2.0340914726257324;1.6070705652236938;1.0;2.0340914726257324;1.6070705652236938;1.0;1.0;0.5;1000.0;-1000.0;0.0
68400.0;2.0340914726257324;1.6070705652236938;1.0;2.0340914726257324;1.6070705652236938;1.0;1.0;0.5;1000.0;-1000.0;0.0
72000.0;2.0340914726257324;1.6070705652236938;1.0;2.0340914726257324;1.6070705652236938;1.0;1.0;0.5;1000.0;-1000.0;0.0
75600.0;2.0340914726257324;1.6070705652236938;1.0;2.0340914726257324;1.6070705652236938;1.0;1.0;0.5;1000.0;-1000.0;0.0
79200.0;2.0340914726257324;1.6070705652236938;1.0;2.0340914726257324;1.6070705652236938;1.0;1.0;0.5;1000.0;-1000.0;0.0
82800.0;2.0068609714508057;1.5938501358032227;0.967142857142857;2.0068609714508057;1.5938501358032227;0.967142857142857;1.0;0.5;1000.0;-1000.0;0.0
86400.0;1.9139220714569092;1.5487279891967773;0.855;1.9139220714569092;1.5487279891967773;0.855;1.0;0.5;1000.0;-1000.0;0.0
90000.0;1.8034212589263916;1.495079517364502;0.721666666666666;1.8034212589263916;1.495079517364502;0.721666666666666;1.0;0.5;1000.0;-1000.0;0.0
93600.0;1.7182435989379883;1.4537254571914673;0.618888888888888;1.7182435989379883;1.4537254571914673;0.618888888888888;1.0;0.5;1000.0;-1000.0;0.0
97200.0;1.7025893926620483;1.4461252689361572;0.6;1.7025893926620483;1.4461252689361572;0.6;1.0;0.5;1000.0;-1000.0;0.0
100800.0;1.7025893926620483;1.4461252689361572;0.6;1.7025893926620483;1.4461252689361572;0.6;1.0;0.5;1000.0;-1000.0;0.0
