RN.NeuronsPerLayer;RN.Bias;RN.Coeffs;
5;-0.009964235;0.83015627;
5;-0.024838172;0.39310974;
5;-0.004814564;0.5815895;
5;-0.008255303;0.21077552;
5;-0.09554912;0.09496054;
5;0.006319141;0.60537946;
0;-0.03000425;0.1443382;
0;0.0060171857;0.2979783;
0;0.0053289435;0.16236757;
0;0.015908798;0.70033604;
0;0.03431132;0.67297494;
0;0.038409993;0.50858754;
0;0.02071783;0.010064602;
0;0.045238286;0.5541474;
0;0.0083452165;0.6245737;
0;0.03764357;0.2948231;
0;0.06918659;-0.10022047;
0;0.056127492;-0.06349645;
0;0.078086846;-0.034015868;
0;0.06648794;0.605269;
0;0.09142932;0.00897057;
0;0.09554339;0.4796684;
0;-0.04386712;0.35047406;
0;0.14628913;0.41324434;
0;0.051031023;0.14446935;
0;0.23357445;0.16883744;
0;0.022375805;-0.04717349;
0;0.0664787;0.44267184;
0;0.19226323;0.41951302;
0;-0.8278099;0.5947458;
0;0.57944596;0.0542956;
0;0.0;0.19356592;
0;0.0;0.14609286;
0;0.0;0.06470366;
0;0.0;0.48334888;
0;0.0;0.39255768;
0;0.0;0.15842637;
0;0.0;0.4267432;
0;0.0;0.011269571;
0;0.0;0.5240227;
0;0.0;0.36273247;
0;0.0;-0.0769347;
0;0.0;0.31884703;
0;0.0;-0.014710911;
0;0.0;0.31007135;
0;0.0;0.11008484;
0;0.0;-0.14610972;
0;0.0;-0.036339235;
0;0.0;0.37951863;
0;0.0;0.19995387;
0;0.0;0.38749638;
0;0.0;-0.038920708;
0;0.0;0.62327725;
0;0.0;-0.09628539;
0;0.0;0.38693455;
0;0.0;0.54766786;
0;0.0;0.08876366;
0;0.0;0.65068763;
0;0.0;0.31793976;
0;0.0;0.31134006;
0;0.0;0.05553968;
0;0.0;0.43836793;
0;0.0;0.3188924;
0;0.0;0.5270655;
0;0.0;-0.028662294;
0;0.0;0.071828976;
0;0.0;-0.08890562;
0;0.0;0.11875518;
0;0.0;0.51788515;
0;0.0;0.46485096;
0;0.0;0.60920334;
0;0.0;0.47379297;
0;0.0;-0.011601643;
0;0.0;0.35688168;
0;0.0;-0.05052804;
0;0.0;0.17705719;
0;0.0;0.3182477;
0;0.0;-0.06557239;
0;0.0;0.5067136;
0;0.0;-0.047277167;
0;0.0;0.34336656;
0;0.0;0.3384233;
0;0.0;-0.10082809;
0;0.0;0.34610665;
0;0.0;0.25825348;
0;0.0;0.58769894;
0;0.0;0.12865631;
0;0.0;0.571161;
0;0.0;0.061215613;
0;0.0;-0.07839005;
0;0.0;0.61427253;
0;0.0;0.28493136;
0;0.0;0.4131698;
0;0.0;0.3272029;
0;0.0;0.44698787;
0;0.0;0.091079004;
0;0.0;0.5086824;
0;0.0;0.3253616;
0;0.0;0.61554646;
0;0.0;0.5445327;
0;0.0;0.186981;
0;0.0;0.57776326;
0;0.0;0.46560234;
0;0.0;-0.040013656;
0;0.0;0.20548975;
0;0.0;0.17540215;
0;0.0;0.21723045;
0;0.0;-0.11486878;
0;0.0;0.50060105;
0;0.0;0.12617603;
0;0.0;-0.0070445;
0;0.0;0.5103257;
0;0.0;0.5858246;
0;0.0;0.6431671;
0;0.0;0.38918552;
0;0.0;0.05409609;
0;0.0;0.27435875;
0;0.0;0.32733354;
0;0.0;0.26192898;
0;0.0;0.3087862;
0;0.0;0.2617211;
0;0.0;0.069841444;
0;0.0;0.40767705;
0;0.0;0.6230287;
0;0.0;0.24504265;
0;0.0;0.52432704;
0;0.0;0.27480948;
0;0.0;0.7264763;
0;0.0;0.3872022;
0;0.0;0.74253875;
0;0.0;0.8730725;
0;0.0;0.004731178;
0;0.0;0.03824655;
0;0.0;0.21415526;
0;0.0;-0.12559369;
