RN.NeuronsPerLayer;RN.Bias;RN.Coeffs;
5;0.0026710837;0.44284222;
5;0.011776032;0.13172397;
5;-0.12531674;0.63997674;
0;0.011125587;0.1731985;
0;0.034932267;0.2571592;
0;-0.037688047;-0.06684985;
0;0.16992114;0.4298024;
0;0.062743455;0.4467748;
0;0.10886987;0.5120826;
0;0.0019090506;0.35840493;
0;0.008910496;0.58527726;
0;0.38917863;-0.089775905;
0;0.30792195;-0.05925299;
0;0.2017726;0.50017107;
0;0.27508157;0.43767965;
0;0.3923554;0.07503361;
0;0.69035757;-0.012266591;
0;0.0;0.27178675;
0;0.0;-0.046348203;
0;0.0;0.36626923;
0;0.0;0.37839982;
0;0.0;0.26049352;
0;0.0;-0.0231443;
0;0.0;0.5738955;
0;0.0;0.47932133;
0;0.0;0.23517218;
0;0.0;0.44585246;
0;0.0;-0.0026325916;
0;0.0;0.5241897;
0;0.0;0.37705874;
0;0.0;0.41927907;
0;0.0;0.27242628;
0;0.0;0.32191938;
0;0.0;0.14176027;
0;0.0;0.1758781;
0;0.0;0.24059226;
0;0.0;0.6298666;
0;0.0;0.6038712;
0;0.0;0.12924816;
0;0.0;0.50855184;
0;0.0;-0.015332034;
0;0.0;0.5599216;
0;0.0;0.32716593;
0;0.0;0.15401447;
0;0.0;-0.18091819;
0;0.0;-0.07395711;
0;0.0;0.31933576;
0;0.0;-0.13367724;
0;0.0;0.22822776;
0;0.0;-0.038159713;
0;0.0;0.050920736;
0;0.0;0.028784668;
0;0.0;0.39604712;
0;0.0;0.2954404;
0;0.0;0.54431677;
0;0.0;0.022063877;
0;0.0;0.036889717;
0;0.0;-0.06593283;
0;0.0;0.07478201;
0;0.0;0.11361754;
0;0.0;-0.047489278;
0;0.0;0.3337836;
0;0.0;0.67470604;
0;0.0;0.27944985;
0;0.0;0.7291506;
0;0.0;0.025538927;
0;0.0;0.5550926;
0;0.0;0.1637856;
0;0.0;-0.018591374;
0;0.0;0.025640827;
