Time;Deep_0_0;Input_0;Input_1;Output_0;Load;Oil.ElectricityPrice;Gas.ElectricityPrice;Reseau.ElectricityPrice;Poubelle.ElectricityPrice;zero
0.0;1.60897696018219;0.4;0.8;1.60897696018219;0.4;1.0;0.5;1000.0;-1000.0;0.0
3600.0;1.60897696018219;0.4;0.8;1.60897696018219;0.4;1.0;0.5;1000.0;-1000.0;0.0
7200.0;1.60897696018219;0.4;0.8;1.60897696018219;0.4;1.0;0.5;1000.0;-1000.0;0.0
10800.0;1.60897696018219;0.4;0.8;1.60897696018219;0.4;1.0;0.5;1000.0;-1000.0;0.0
14400.0;1.60897696018219;0.4;0.8;1.60897696018219;0.4;1.0;0.5;1000.0;-1000.0;0.0
18000.0;1.60897696018219;0.4;0.8;1.60897696018219;0.4;1.0;0.5;1000.0;-1000.0;0.0
21600.0;1.691747784614563;0.523529411764705;1.04705882352941;1.691747784614563;0.523529411764705;1.0;0.5;1000.0;-1000.0;0.0
25200.0;2.0110068321228027;1.0;2.0;2.0110068321228027;1.0;1.0;0.5;1000.0;-1000.0;0.0
28800.0;2.0110068321228027;1.0;2.0;2.0110068321228027;1.0;1.0;0.5;1000.0;-1000.0;0.0
32400.0;1.7094844579696655;0.55;1.1;1.7094844579696655;0.55;1.0;0.5;1000.0;-1000.0;0.0
36000.0;1.60897696018219;0.4;0.8;1.60897696018219;0.4;1.0;0.5;1000.0;-1000.0;0.0
39600.0;1.60897696018219;0.4;0.8;1.60897696018219;0.4;1.0;0.5;1000.0;-1000.0;0.0
43200.0;1.60897696018219;0.4;0.8;1.60897696018219;0.4;1.0;0.5;1000.0;-1000.0;0.0
46800.0;1.60897696018219;0.4;0.8;1.60897696018219;0.4;1.0;0.5;1000.0;-1000.0;0.0
50400.0;1.60897696018219;0.4;0.8;1.60897696018219;0.4;1.0;0.5;1000.0;-1000.0;0.0
54000.0;1.60897696018219;0.4;0.8;1.60897696018219;0.4;1.0;0.5;1000.0;-1000.0;0.0
57600.0;1.60897696018219;0.4;0.8;1.60897696018219;0.4;1.0;0.5;1000.0;-1000.0;0.0
61200.0;1.8658294677734375;0.783333333333333;1.566666666666666;1.8658294677734375;0.783333333333333;1.0;0.5;1000.0;-1000.0;0.0
64800.0;2.0110068321228027;1.0;2.0;2.0110068321228027;1.0;1.0;0.5;1000.0;-1000.0;0.0
68400.0;2.0110068321228027;1.0;2.0;2.0110068321228027;1.0;1.0;0.5;1000.0;-1000.0;0.0
72000.0;2.0110068321228027;1.0;2.0;2.0110068321228027;1.0;1.0;0.5;1000.0;-1000.0;0.0
75600.0;2.0110068321228027;1.0;2.0;2.0110068321228027;1.0;1.0;0.5;1000.0;-1000.0;0.0
79200.0;2.0110068321228027;1.0;2.0;2.0110068321228027;1.0;1.0;0.5;1000.0;-1000.0;0.0
82800.0;1.9889910221099854;0.967142857142857;1.934285714285714;1.9889910221099854;0.967142857142857;1.0;0.5;1000.0;-1000.0;0.0
86400.0;1.9138495922088623;0.855;1.71;1.9138495922088623;0.855;1.0;0.5;1000.0;-1000.0;0.0
90000.0;1.824509620666504;0.721666666666666;1.443333333333332;1.824509620666504;0.721666666666666;1.0;0.5;1000.0;-1000.0;0.0
93600.0;1.7556434869766235;0.618888888888888;1.237777777777776;1.7556434869766235;0.618888888888888;1.0;0.5;1000.0;-1000.0;0.0
97200.0;1.7429869174957275;0.6;1.2;1.7429869174957275;0.6;1.0;0.5;1000.0;-1000.0;0.0
100800.0;1.7429869174957275;0.6;1.2;1.7429869174957275;0.6;1.0;0.5;1000.0;-1000.0;0.0
104400.0;1.7429869174957275;0.6;1.2;1.7429869174957275;0.6;1.0;0.5;1000.0;-1000.0;0.0
108000.0;1.7429869174957275;0.6;1.2;1.7429869174957275;0.6;1.0;0.5;1000.0;-1000.0;0.0
111600.0;1.7429869174957275;0.6;1.2;1.7429869174957275;0.6;1.0;0.5;1000.0;-1000.0;0.0
115200.0;1.7650028467178345;0.632857142857142;1.265714285714284;1.7650028467178345;0.632857142857142;1.0;0.5;1000.0;-1000.0;0.0
118800.0;1.840144157409668;0.745;1.49;1.840144157409668;0.745;1.0;0.5;1000.0;-1000.0;0.0
122400.0;1.9294841289520264;0.878333333333333;1.756666666666666;1.9294841289520264;0.878333333333333;1.0;0.5;1000.0;-1000.0;0.0
126000.0;1.9983503818511963;0.981111111111111;1.962222222222222;1.9983503818511963;0.981111111111111;1.0;0.5;1000.0;-1000.0;0.0
129600.0;2.0110068321228027;1.0;2.0;2.0110068321228027;1.0;1.0;0.5;1000.0;-1000.0;0.0
133200.0;2.0110068321228027;1.0;2.0;2.0110068321228027;1.0;1.0;0.5;1000.0;-1000.0;0.0
136800.0;2.0110068321228027;1.0;2.0;2.0110068321228027;1.0;1.0;0.5;1000.0;-1000.0;0.0
140400.0;2.0110068321228027;1.0;2.0;2.0110068321228027;1.0;1.0;0.5;1000.0;-1000.0;0.0
144000.0;2.0110068321228027;1.0;2.0;2.0110068321228027;1.0;1.0;0.5;1000.0;-1000.0;0.0
147600.0;2.0110068321228027;1.0;2.0;2.0110068321228027;1.0;1.0;0.5;1000.0;-1000.0;0.0
151200.0;2.0110068321228027;1.0;2.0;2.0110068321228027;1.0;1.0;0.5;1000.0;-1000.0;0.0
154800.0;2.0110068321228027;1.0;2.0;2.0110068321228027;1.0;1.0;0.5;1000.0;-1000.0;0.0
158400.0;2.0110068321228027;1.0;2.0;2.0110068321228027;1.0;1.0;0.5;1000.0;-1000.0;0.0
162000.0;2.0110068321228027;1.0;2.0;2.0110068321228027;1.0;1.0;0.5;1000.0;-1000.0;0.0
165600.0;2.0110068321228027;1.0;2.0;2.0110068321228027;1.0;1.0;0.5;1000.0;-1000.0;0.0
169200.0;2.0110068321228027;1.0;2.0;2.0110068321228027;1.0;1.0;0.5;1000.0;-1000.0;0.0
172800.0;2.0110068321228027;1.0;2.0;2.0110068321228027;1.0;1.0;0.5;1000.0;-1000.0;0.0
176400.0;2.0110068321228027;1.0;2.0;2.0110068321228027;1.0;1.0;0.5;1000.0;-1000.0;0.0
180000.0;2.0110068321228027;1.0;2.0;2.0110068321228027;1.0;1.0;0.5;1000.0;-1000.0;0.0
183600.0;2.0110068321228027;1.0;2.0;2.0110068321228027;1.0;1.0;0.5;1000.0;-1000.0;0.0
187200.0;2.0110068321228027;1.0;2.0;2.0110068321228027;1.0;1.0;0.5;1000.0;-1000.0;0.0
190800.0;2.0110068321228027;1.0;2.0;2.0110068321228027;1.0;1.0;0.5;1000.0;-1000.0;0.0
194400.0;2.0110068321228027;1.0;2.0;2.0110068321228027;1.0;1.0;0.5;1000.0;-1000.0;0.0
198000.0;2.0110068321228027;1.0;2.0;2.0110068321228027;1.0;1.0;0.5;1000.0;-1000.0;0.0
201600.0;2.0110068321228027;1.0;2.0;2.0110068321228027;1.0;1.0;0.5;1000.0;-1000.0;0.0
205200.0;2.0110068321228027;1.0;2.0;2.0110068321228027;1.0;1.0;0.5;1000.0;-1000.0;0.0
208800.0;2.0110068321228027;1.0;2.0;2.0110068321228027;1.0;1.0;0.5;1000.0;-1000.0;0.0
212400.0;2.0110068321228027;1.0;2.0;2.0110068321228027;1.0;1.0;0.5;1000.0;-1000.0;0.0
216000.0;2.0110068321228027;1.0;2.0;2.0110068321228027;1.0;1.0;0.5;1000.0;-1000.0;0.0
219600.0;2.0110068321228027;1.0;2.0;2.0110068321228027;1.0;1.0;0.5;1000.0;-1000.0;0.0
223200.0;2.0110068321228027;1.0;2.0;2.0110068321228027;1.0;1.0;0.5;1000.0;-1000.0;0.0
226800.0;2.0110068321228027;1.0;2.0;2.0110068321228027;1.0;1.0;0.5;1000.0;-1000.0;0.0
230400.0;2.0110068321228027;1.0;2.0;2.0110068321228027;1.0;1.0;0.5;1000.0;-1000.0;0.0
234000.0;2.0110068321228027;1.0;2.0;2.0110068321228027;1.0;1.0;0.5;1000.0;-1000.0;0.0
237600.0;2.0110068321228027;1.0;2.0;2.0110068321228027;1.0;1.0;0.5;1000.0;-1000.0;0.0
241200.0;2.0110068321228027;1.0;2.0;2.0110068321228027;1.0;1.0;0.5;1000.0;-1000.0;0.0
244800.0;2.0110068321228027;1.0;2.0;2.0110068321228027;1.0;1.0;0.5;1000.0;-1000.0;0.0
248400.0;2.0110068321228027;1.0;2.0;2.0110068321228027;1.0;1.0;0.5;1000.0;-1000.0;0.0
252000.0;2.0110068321228027;1.0;2.0;2.0110068321228027;1.0;1.0;0.5;1000.0;-1000.0;0.0
255600.0;2.0110068321228027;1.0;2.0;2.0110068321228027;1.0;1.0;0.5;1000.0;-1000.0;0.0
259200.0;2.0110068321228027;1.0;2.0;2.0110068321228027;1.0;1.0;0.5;1000.0;-1000.0;0.0
262800.0;2.0110068321228027;1.0;2.0;2.0110068321228027;1.0;1.0;0.5;1000.0;-1000.0;0.0
266400.0;2.0110068321228027;1.0;2.0;2.0110068321228027;1.0;1.0;0.5;1000.0;-1000.0;0.0
270000.0;2.0110068321228027;1.0;2.0;2.0110068321228027;1.0;1.0;0.5;1000.0;-1000.0;0.0
273600.0;2.0110068321228027;1.0;2.0;2.0110068321228027;1.0;1.0;0.5;1000.0;-1000.0;0.0
277200.0;2.0110068321228027;1.0;2.0;2.0110068321228027;1.0;1.0;0.5;1000.0;-1000.0;0.0
280800.0;2.0110068321228027;1.0;2.0;2.0110068321228027;1.0;1.0;0.5;1000.0;-1000.0;0.0
284400.0;2.0110068321228027;1.0;2.0;2.0110068321228027;1.0;1.0;0.5;1000.0;-1000.0;0.0
288000.0;2.0110068321228027;1.0;2.0;2.0110068321228027;1.0;1.0;0.5;1000.0;-1000.0;0.0
291600.0;2.0110068321228027;1.0;2.0;2.0110068321228027;1.0;1.0;0.5;1000.0;-1000.0;0.0
295200.0;2.0110068321228027;1.0;2.0;2.0110068321228027;1.0;1.0;0.5;1000.0;-1000.0;0.0
298800.0;2.0110068321228027;1.0;2.0;2.0110068321228027;1.0;1.0;0.5;1000.0;-1000.0;0.0
302400.0;2.0110068321228027;1.0;2.0;2.0110068321228027;1.0;1.0;0.5;1000.0;-1000.0;0.0
306000.0;2.0110068321228027;1.0;2.0;2.0110068321228027;1.0;1.0;0.5;1000.0;-1000.0;0.0
309600.0;2.0110068321228027;1.0;2.0;2.0110068321228027;1.0;1.0;0.5;1000.0;-1000.0;0.0
313200.0;2.0110068321228027;1.0;2.0;2.0110068321228027;1.0;1.0;0.5;1000.0;-1000.0;0.0
316800.0;1.8812415599822998;0.806334841628959;1.612669683257918;1.8812415599822998;0.806334841628959;1.0;0.5;1000.0;-1000.0;0.0
320400.0;1.7429869174957275;0.6;1.2;1.7429869174957275;0.6;1.0;0.5;1000.0;-1000.0;0.0
324000.0;1.7429869174957275;0.6;1.2;1.7429869174957275;0.6;1.0;0.5;1000.0;-1000.0;0.0
327600.0;1.7429869174957275;0.6;1.2;1.7429869174957275;0.6;1.0;0.5;1000.0;-1000.0;0.0
331200.0;1.7429869174957275;0.6;1.2;1.7429869174957275;0.6;1.0;0.5;1000.0;-1000.0;0.0
334800.0;1.7429869174957275;0.6;1.2;1.7429869174957275;0.6;1.0;0.5;1000.0;-1000.0;0.0
338400.0;1.7429869174957275;0.6;1.2;1.7429869174957275;0.6;1.0;0.5;1000.0;-1000.0;0.0
342000.0;1.7429869174957275;0.6;1.2;1.7429869174957275;0.6;1.0;0.5;1000.0;-1000.0;0.0
