RN.NeuronsPerLayer;RN.Bias;RN.Coeffs;
5;0.1529949;0.2863135;
5;0.15920477;0.10563795;
0;0.16751891;-0.020378135;
0;0.15248208;0.05738186;
0;0.14935103;0.43249154;
0;0.17128704;0.16285942;
0;0.16102962;0.37100056;
0;0.17061074;0.7393087;
0;0.1692709;-0.0173047;
0;0.17019847;0.46606228;
0;0.1765117;0.11461434;
0;0.0;0.32567713;
0;0.0;0.65326786;
0;0.0;0.5835631;
0;0.0;0.6109778;
0;0.0;0.42512214;
0;0.0;0.077516854;
0;0.0;0.17597274;
0;0.0;0.053791456;
0;0.0;-0.094320476;
0;0.0;0.40393648;
0;0.0;0.44329736;
0;0.0;0.7635347;
0;0.0;-0.00665846;
0;0.0;0.14129561;
0;0.0;0.48629165;
0;0.0;0.67568856;
0;0.0;0.448175;
0;0.0;0.607139;
0;0.0;0.29166812;
0;0.0;0.7608212;
0;0.0;0.2562244;
0;0.0;0.3881998;
0;0.0;0.46980977;
0;0.0;0.65795386;
