t,Input_0,Output_0,Output_1
1,0.4,1.5368382930755615,1.3656525611877441
2,0.4,1.5368382930755615,1.3656525611877441
3,0.4,1.5368382930755615,1.3656525611877441
4,0.4,1.5368382930755615,1.3656525611877441
5,0.4,1.5368382930755615,1.3656525611877441
6,0.523529411764705,1.6392139196395874,1.4153562784194946
7,1.0,2.0340914726257324,1.6070705652236938
8,1.0,2.0340914726257324,1.6070705652236938
9,0.55,1.661151647567749,1.4260071516036987
10,0.4,1.5368382930755615,1.3656525611877441
11,0.4,1.5368382930755615,1.3656525611877441
12,0.4,1.5368382930755615,1.3656525611877441
13,0.4,1.5368382930755615,1.3656525611877441
14,0.4,1.5368382930755615,1.3656525611877441
15,0.4,1.5368382930755615,1.3656525611877441
16,0.4,1.5368382930755615,1.3656525611877441
17,0.783333333333333,1.8545279502868652,1.5198918581008911
18,1.0,2.0340914726257324,1.6070705652236938
19,1.0,2.0340914726257324,1.6070705652236938
20,1.0,2.0340914726257324,1.6070705652236938
21,1.0,2.0340914726257324,1.6070705652236938
22,1.0,2.0340914726257324,1.6070705652236938
23,0.967142857142857,2.0068609714508057,1.5938501358032227
24,0.855,1.9139220714569092,1.5487279891967773
25,0.721666666666666,1.8034212589263916,1.495079517364502
26,0.618888888888888,1.7182435989379883,1.4537254571914673
27,0.6,1.7025893926620483,1.4461252689361572
28,0.6,1.7025893926620483,1.4461252689361572
29,0.6,1.7025893926620483,1.4461252689361572
30,0.6,1.7025893926620483,1.4461252689361572
31,0.6,1.7025893926620483,1.4461252689361572
32,0.632857142857142,1.729819893836975,1.459345817565918
33,0.745,1.8227589130401611,1.5044679641723633
34,0.878333333333333,1.9332596063613892,1.5581164360046387
35,0.981111111111111,2.018437385559082,1.5994703769683838
36,1.0,2.0340914726257324,1.6070705652236938
37,1.0,2.0340914726257324,1.6070705652236938
38,1.0,2.0340914726257324,1.6070705652236938
39,1.0,2.0340914726257324,1.6070705652236938
40,1.0,2.0340914726257324,1.6070705652236938
41,1.0,2.0340914726257324,1.6070705652236938
42,1.0,2.0340914726257324,1.6070705652236938
43,1.0,2.0340914726257324,1.6070705652236938
44,1.0,2.0340914726257324,1.6070705652236938
45,1.0,2.0340914726257324,1.6070705652236938
46,1.0,2.0340914726257324,1.6070705652236938
47,1.0,2.0340914726257324,1.6070705652236938
48,1.0,2.0340914726257324,1.6070705652236938
49,1.0,2.0340914726257324,1.6070705652236938
50,1.0,2.0340914726257324,1.6070705652236938
51,1.0,2.0340914726257324,1.6070705652236938
52,1.0,2.0340914726257324,1.6070705652236938
53,1.0,2.0340914726257324,1.6070705652236938
54,1.0,2.0340914726257324,1.6070705652236938
55,1.0,2.0340914726257324,1.6070705652236938
56,1.0,2.0340914726257324,1.6070705652236938
57,1.0,2.0340914726257324,1.6070705652236938
58,1.0,2.0340914726257324,1.6070705652236938
59,1.0,2.0340914726257324,1.6070705652236938
60,1.0,2.0340914726257324,1.6070705652236938
61,1.0,2.0340914726257324,1.6070705652236938
62,1.0,2.0340914726257324,1.6070705652236938
63,1.0,2.0340914726257324,1.6070705652236938
64,1.0,2.0340914726257324,1.6070705652236938
65,1.0,2.0340914726257324,1.6070705652236938
